#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-26.16939988 	 18.83691162423933184391 	 3.17352468347708772399 	 1000.000043 	 -7.20616201547815972209 	 2.66074080857158269999 	 2.66074080857158219999 	 2.66075299142846779999
-25.94230405 	 18.49124493093907777593 	 3.23284907118279695429 	 1099.9946 	 -6.62345324541201278691 	 2.64436089032770379999 	 2.64436089032770289999 	 2.64438509387411049999
-25.71095958 	 18.16968254990136997321 	 3.29006320478199543568 	 1199.994237 	 -6.05113823826609734382 	 2.62893861707483229999 	 2.62893861707483229999 	 2.62897494898752399999
-25.59318509 	 18.01651782656474294685 	 3.31803318351880968866 	 1250.04913 	 -5.76817517574305455035 	 2.62153765506740389999 	 2.62153765506740389999 	 2.62155307902750589999
-25.47590426 	 17.86915053122143848246 	 3.34539707948354292967 	 1299.998017 	 -5.48848303715222171053 	 2.61437001496009409999 	 2.61437001496009409999 	 2.61438654494326389999
-25.23646993 	 17.58636728765224701881 	 3.39919001020593710573 	 1400.129583 	 -4.93394089883387639071 	 2.60052931962599579999 	 2.60052931962599579999 	 2.60047468212502329999
-24.99705427 	 17.32177467494485318456 	 3.45111312909918786360 	 1500.138363 	 -4.38922824632118989430 	 2.58742255268319709999 	 2.58742255268319709999 	 2.58736480556601389999
-24.75475348 	 17.07188088806157297649 	 3.50162963249139992716 	 1599.999557 	 -3.85303524339656132333 	 2.57492079881373479999 	 2.57492079881373479999 	 2.57486000513365139999
-24.51029167 	 16.83501622270753763917 	 3.55089672675027654113 	 1699.9921 	 -3.32373539210269777803 	 2.56292311584607629999 	 2.56292311584607629999 	 2.56296327358687039999
-24.38709170 	 16.72111864546152154552 	 3.57508401605806689134 	 1750.01356 	 -3.06153649539637345512 	 2.55716124999731509999 	 2.55716124999731509999 	 2.55710816527616559999
-24.26457868 	 16.61049165300764208864 	 3.59889431624233795523 	 1799.989717 	 -2.80163466106073059660 	 2.55151024412376119999 	 2.55151024412376119999 	 2.55145465660953489999
-24.01756806 	 16.39703651304660374523 	 3.64574439731444261234 	 1899.9999 	 -2.28627069960790035149 	 2.54054703304490109999 	 2.54054703304490199999 	 2.54045136427167239999
-23.76863158 	 16.19331055753301209842 	 3.69161103825005377829 	 2000.048273 	 -1.77700248225669815921 	 2.52996557976318699999 	 2.52996557976318699999 	 2.52991785236700469999
-23.52038118 	 15.99927145586612840377 	 3.73638288248943349515 	 2100.192403 	 -1.27397226325067451590 	 2.51982032605322369999 	 2.51982032605322369999 	 2.51977090733306099999
-23.27142874 	 15.81410248772845693411 	 3.78013257763999314670 	 2199.976937 	 -.77840325991087226820 	 2.51006207624015779999 	 2.51006207624015779999 	 2.51001100007731949999
-23.14611366 	 15.72424233381360601364 	 3.80173509991318482565 	 2249.99493 	 -.53199420422416587217 	 2.50530721824143579999 	 2.50530721824143579999 	 2.50523083776946049999
-23.02153890 	 15.63651005917281732453 	 3.82306561846463415038 	 2299.99245 	 -.28733319203486198448 	 2.50064002528309979999 	 2.50064002528309979999 	 2.50056110771323189999
-22.77138611 	 15.46626974913016472201 	 3.86514686279553873007 	 2399.999723 	 .19824902829470341068 	 2.49150556486799559999 	 2.49150556486799819999 	 2.49150554151972029999
-22.52095519 	 15.30278658329787984739 	 3.90643910993608284278 	 2499.998627 	 .67857587115985616163 	 2.48268232711124789999 	 2.48268232711124789999 	 2.48272270539704729999
-22.27033756 	 15.14559685049761082482 	 3.94698238637164958204 	 2599.999753 	 1.15390932939529271591 	 2.47417339460495669999 	 2.47417339460495439999 	 2.47415057789811449999
-22.01961611 	 14.99428885523250052890 	 3.98681155052838711008 	 2699.99864 	 1.62442907428676111412 	 2.46588638215052879999 	 2.46588638215052439999 	 2.46592434674272539999
-21.89402482 	 14.92066006869378390865 	 4.00648521746218801570 	 2749.980077 	 1.85791701050178630530 	 2.46190211272790549999 	 2.46190211272790549999 	 2.46176432677556979999
-21.76899961 	 14.84847309036901191468 	 4.02596304927635974634 	 2799.987923 	 2.09020721223840033380 	 2.45792645977709289999 	 2.45792645977709289999 	 2.45778577663289969999
-21.50772336 	 14.70220723681985497785 	 4.06601560140506625553 	 2899.572903 	 2.54995273875372306014 	 2.44358391017734709999 	 2.44358391017742699999 	 2.46222664324648739999
-21.10656274 	 14.48635039706185728193 	 4.12660210208118022028 	 2999.987083 	 3.00916319144537457615 	 2.30205972538260759999 	 2.30205972538260579999 	 2.73354238290995079999
-20.40151632 	 14.12537492702589123598 	 4.23205786103594776399 	 3249.95319 	 4.12562938746963883085 	 2.25347681185132749999 	 2.25347681185129239999 	 2.78159435880582249999
-19.71933610 	 13.80283791402089578768 	 4.33095022721930235828 	 3499.79698 	 5.21580142243120729042 	 2.21810142765454449999 	 2.21810142765454539999 	 2.80546971852166659999
-19.05406144 	 13.50914709712663228297 	 4.42510571320338616349 	 3750.017613 	 6.28256788211891046545 	 2.18900242583139939999 	 2.18900242583140289999 	 2.81926204712876019999
-18.40324657 	 13.24038879969217193185 	 4.51492814179216713090 	 4000.00896 	 7.32641490907820150493 	 2.16436306671607069999 	 2.16436306671607069999 	 2.82644480793590609999
-15.86367682 	 12.33263218294769757185 	 4.84725426925947290843 	 5000.000267 	 11.31172130849545932449 	 2.08572101825894009999 	 2.08572101825894009999 	 2.83493655334429829999
-13.41687219 	 11.61839559244735702942 	 5.14523744043111609889 	 5999.97516 	 15.04637003647589874852 	 2.02697310966200289999 	 2.02697310966200379999 	 2.82780973377454089999
-11.04812415 	 11.03382235105699356496 	 5.41783274173100907827 	 6999.99979 	 18.57963272987231885752 	 1.97981308095759359999 	 1.97981308095759359999 	 2.81499487558536999999
-8.74526831 	 10.54187449715098783857 	 5.67066170405991687324 	 7999.69991 	 21.94526041117966292708 	 1.94038717131658659999 	 1.94038717131658659999 	 2.79989053371835309999
-6.50452359 	 10.11932578855872536822 	 5.90744929544503347866 	 8999.668013 	 25.16862813477801110058 	 1.90653733810714689999 	 1.90653733810714689999 	 2.78394690396352609999
-4.31740042 	 9.75042245646858720587 	 6.13095527572155411006 	 9999.61755 	 28.26881080325928077452 	 1.87688689806733609999 	 1.87688689806733609999 	 2.76787980807848429999
-2.17957103 	 9.42420727821197580587 	 6.34317584866848895168 	 10999.59019 	 31.26071020732799224711 	 1.85053325478549139999 	 1.85053325478549139999 	 2.75201655207041229999
