#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-104.66931191 	 75.33832774322576179114 	 3.17391722331533794000 	 1000.27961 	 -7.20420986094019089755 	 3.76264471166361680043 	 3.76254636607503960085 	 5.32158377846339460156
-103.76851503 	 73.96359177804918019263 	 3.23290973642203540306 	 1100.001537 	 -6.62344468277498414822 	 3.73961850896570350000 	 3.73952034628026510000 	 5.28901491621906849999
-102.84340162 	 72.67779171472214734841 	 3.29010568921238397026 	 1199.998977 	 -6.05114463684067155460 	 3.71785836643566549999 	 3.71778428061558449999 	 5.25804979976361329999
-101.90369774 	 71.47611894146911794842 	 3.34541969459492289386 	 1300.001167 	 -5.48852456529486442570 	 3.69716980950093929999 	 3.69725910714843219999 	 5.22891614842523289999
-100.95149781 	 70.34888516056709375748 	 3.39902495191257746106 	 1399.99842 	 -4.93498990042439311166 	 3.67764696916717779999 	 3.67772329934820389999 	 5.20125481577742569999
-99.98962086 	 69.28833386420916151605 	 3.45105160803290769707 	 1500.0007 	 -4.39000333453336281057 	 3.65914367752503369999 	 3.65920761792096009999 	 5.17480041485150809999
-99.01945782 	 68.28766543332799023996 	 3.50162235716580763729 	 1600.001403 	 -3.85306318487833919529 	 3.64147653516547050046 	 3.64156033878392500337 	 5.14964438632596000363
-98.04200130 	 67.34056302128869983697 	 3.55087046011787256091 	 1699.993883 	 -3.32376428425149204846 	 3.62451870062947680004 	 3.62459236951346360063 	 5.12586573738774480097
-97.05884978 	 66.44235342214863316325 	 3.59887336441472095795 	 1800.000063 	 -2.80159359144908574581 	 3.60835047515048359999 	 3.60840965116479580389 	 5.10293995099916660942
-96.07095614 	 65.58851028367350811973 	 3.64572415146806415203 	 1899.995887 	 -2.28632273003744779015 	 3.59285863868296749999 	 3.59290903822990159999 	 5.08090897283902619999
-95.07897395 	 64.77527869329308224839 	 3.69149497807963199390 	 1999.999777 	 -1.77748574718123896270 	 3.57795800190203198237 	 3.57800756248552424555 	 5.05979355511284762128
-94.08475234 	 63.99959708826663611165 	 3.73623627145988110831 	 2099.991003 	 -1.27496985900412267114 	 3.56368470428975699999 	 3.56375690639268769999 	 5.03929630221769549999
-93.08690267 	 63.25743999811251638790 	 3.78007102416940714184 	 2200.006227 	 -.77823037250940310279 	 3.54979484985539969999 	 3.54988417319093409999 	 5.01988969517420449999
-92.08747187 	 62.54701650344715429749 	 3.82300594604414918213 	 2300.001623 	 -.28727777891253765681 	 3.53656057057500559999 	 3.53661323295777349999 	 5.00078208912289309999
-91.08643297 	 61.86609664508466003614 	 3.86508328417383995940 	 2400.012483 	 .19839010088178360986 	 3.52367976032864719999 	 3.52374038810926183669 	 4.98255819144087320421
-90.08422386 	 61.21156846381951903431 	 3.90641217013309945105 	 2499.99687 	 .67859942816394539622 	 3.51113688275732059999 	 3.51116914049798009999 	 4.96516855275320789999
-89.08129759 	 60.58266085815086645670 	 3.94696457060335306939 	 2599.996463 	 1.15395583047828513165 	 3.49905278921672909999 	 3.49907703169959739999 	 4.94816697032935069999
-88.07863815 	 59.97737902833963898582 	 3.98679668691450523676 	 2699.964817 	 1.62429619339531382171 	 3.48738433391631689999 	 3.48740457422558409999 	 4.93157154814186519999
-87.07892815 	 59.39479006015564014071 	 4.02590220047615752133 	 2799.921393 	 2.08972880815045012996 	 3.47605658714956700003 	 3.47607479370228440004 	 4.91555320697292329999
-85.33482312 	 58.42737944579951909431 	 4.09256102649304639397 	 2900.00111 	 2.55262145119558913112 	 3.53803937366686089999 	 3.58246041716325169999 	 4.60969663926564089999
-84.16514416 	 57.79304623192770421705 	 4.13748074535478869702 	 2999.999657 	 3.00619861570566148900 	 3.53164369267109589999 	 3.58639089981605869999 	 4.56290137072551259999
-73.34701104 	 52.80401783051299215797 	 4.52839813757174029170 	 4000.00959 	 7.31050075427857472975 	 3.44711832047564749999 	 3.55754414821357919999 	 4.30586570123766509999
-63.15344000 	 49.16176587745492769034 	 4.86389395767528442224 	 5000.000877 	 11.28354862502475009065 	 3.37138797255379649999 	 3.51298465072823029999 	 4.15090208380852489999
-53.35826793 	 46.30249093856492658004 	 5.16424950694911959744 	 6000.00111 	 15.00502656224947580219 	 3.30687712469072669999 	 3.46985283416924429999 	 4.03529455990751979999
-43.88933094 	 43.96561572013747319674 	 5.43874143653758703298 	 6999.99825 	 18.52485892292288472186 	 3.25115427397493732128 	 3.42992077459581368030 	 3.94267966390534269999
-34.49723350 	 41.95952240660188495161 	 5.69876877250579439860 	 8000.005113 	 21.87693622424244410626 	 3.20133094079969590004 	 3.38712812315778370004 	 3.86962018176531859999
-25.08912717 	 40.18536322533823358148 	 5.95036592450726532962 	 9000.00323 	 25.08081618241072086448 	 3.15651368048980440000 	 3.33884511982797690000 	 3.81297491817950979999
-15.98740550 	 38.65006280519048107642 	 6.18673292214903929839 	 10000.00202 	 28.15591975982175423543 	 3.11718903143195809999 	 3.29536333594374579999 	 3.76256281517078509999
-7.14912907 	 37.30145540861421679694 	 6.41040981861472729734 	 11000.00165 	 31.11875199442834180209 	 3.08208244156793749999 	 3.25588999640721649999 	 3.71716468524209629999
