#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-52.33466945 	 37.66920795714703638704 	 3.17391350877383989868 	 1000.28235 	 -7.20419024854031348274 	 2.66078390472425229999 	 3.76265947019332709999 	 3.76254730206711049999
-51.88439667 	 36.98200551757296884631 	 3.23289141101848843623 	 1099.979167 	 -6.62357257857046079968 	 2.64450272622154839999 	 3.73964196120261149999 	 3.73952478309673399999
-51.42175488 	 36.33897164729615602784 	 3.29009882724339322028 	 1199.997033 	 -6.05115498601281521083 	 2.62906314554791279999 	 3.71783528296381589999 	 3.71776103376221249999
-51.18847477 	 36.03376792357970384549 	 3.31796575516498651043 	 1250.033983 	 -5.76864365629419424034 	 2.62168162468331229999 	 3.70739816270104639999 	 3.70732360712491849999
-50.95179294 	 35.73809706333644499465 	 3.34541617557625500908 	 1299.999663 	 -5.48851134420772913405 	 2.61444650087918529999 	 3.69718407749220649999 	 3.69726509453103479999
-50.47575280 	 35.17446864162485345267 	 3.39902243351918582566 	 1400.000083 	 -4.93497605355866720069 	 2.60061525823683269999 	 3.67765684143016889999 	 3.67773333347931429999
-49.99485975 	 34.64423714631537808838 	 3.45104461371336024934 	 1499.998633 	 -4.39001040423215023986 	 2.58742337581743209999 	 3.65913196708002129999 	 3.65919397927186289999
-49.50937557 	 34.14383132471723955070 	 3.50162249991697791259 	 1600.045547 	 -3.85274001026650371506 	 2.57484503480514879999 	 3.64148359000154679999 	 3.64152083085419509999
-49.02074944 	 33.67010483473666389312 	 3.55088909247036139528 	 1700.0072 	 -3.32367838242229873501 	 2.56286229704454759999 	 3.62458612471182429999 	 3.62460573192491559999
-48.77617842 	 33.44292420161191199536 	 3.57501058457792986760 	 1750.012103 	 -3.06185528012324124928 	 2.55708531811143839999 	 3.61641534788895709999 	 3.61643548664418899999
-48.52931220 	 33.22110743046045428748 	 3.59888086964784484529 	 1799.9974 	 -2.80159868196630513600 	 2.55137550002464989999 	 3.60844051559122649999 	 3.60844569960204579999
-48.03531445 	 32.79418032419400640767 	 3.64573246893428604117 	 1900.00251 	 -2.28627011555418860711 	 2.54032509327223319999 	 3.59297711071867589999 	 3.59296537251390009999
-47.53951114 	 32.38739070430667177752 	 3.69152331818141251834 	 1999.958647 	 -1.77777724041314185733 	 2.52966519829097479999 	 3.57815904551487039999 	 3.57810658958437469999
-47.04174876 	 31.99945818592476234755 	 3.73627601146662454417 	 2100.033423 	 -1.27471272607636308096 	 2.51957584176635849999 	 3.56377366300251049999 	 3.56373231666458779999
-46.54304309 	 31.62852559488514082716 	 3.78009425830885552854 	 2200.01399 	 -.77815673480159894307 	 2.50959566421576019999 	 3.55007528459018439999 	 3.55007582243842459999
