#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-26.16941283 	 18.83691742483093162839 	 3.17352370623011012563 	 1000.00051 	 -7.20616393497791003500 	 2.66074514263203189999 	 2.66074514263203189999 	 2.66074514263203189999
-25.94229224 	 18.49125427716993900071 	 3.23284743716958693234 	 1100.00047 	 -6.62341025821328839812 	 2.64436940367586229999 	 2.64436940367586179999 	 2.64436940367586179999
-25.71098709 	 18.16971319329191804067 	 3.29005765605975422923 	 1200.0005 	 -6.05110500443827465156 	 2.62895220557489879999 	 2.62895220557489879999 	 2.62895220557489879999
-25.59433285 	 18.01713399045828509275 	 3.31791971085182826336 	 1249.99958 	 -5.76878728930797678549 	 2.62157268157526069999 	 2.62157268157526069999 	 2.62157268157526069999
-25.47591202 	 17.86915785245106097988 	 3.34539570883024188606 	 1300.00049 	 -5.48847015620040782114 	 2.61437588199101209999 	 2.61437588199101209999 	 2.61437588199101209999
-25.23787360 	 17.58729928488970838359 	 3.39900987818863300213 	 1399.99966 	 -4.93494859204858760781 	 2.60055704459502699999 	 2.60055704459502699999 	 2.60055704459502699999
-24.99729528 	 17.32208811472002876395 	 3.45105068188635033537 	 1499.99961 	 -4.38995208325003600217 	 2.58741890987370659999 	 2.58741890987370659999 	 2.58741890987370659999
-24.75473720 	 17.07187304040879014602 	 3.50163124213162304850 	 1599.9997 	 -3.85303026002823223849 	 2.57490013954819429999 	 2.57490013954819429999 	 2.57490013954819429999
-24.51026829 	 16.83501705805640041874 	 3.55089655055576884866 	 1700 	 -3.32368175394393361370 	 2.56293654408049499999 	 2.56293654408049499999 	 2.56293654408049499999
-24.38805729 	 16.72146638950148075396 	 3.57500966766481125128 	 1749.99945 	 -3.06190300581131919653 	 2.55716128155826939999 	 2.55716128155826939999 	 2.55716128155826939999
-24.26449838 	 16.61047922595257720843 	 3.59889700873887777515 	 1800.00002 	 -2.80154808384690043714 	 2.55149107852243829999 	 2.55149107852243829999 	 2.55149107852243829999
-24.01755466 	 16.39703836825347215397 	 3.64574398482470547447 	 1899.99986 	 -2.28626310425989857222 	 2.54051523886720519999 	 2.54051523886720519999 	 2.54051523886720519999
-23.76948299 	 16.19362762920347161948 	 3.69153875640528208115 	 1999.99961 	 -1.77747620688490241686 	 2.52996618290780039999 	 2.52996618290780039999 	 2.52996618290780039999
-23.52075720 	 15.99959387641305335591 	 3.73630758766496490365 	 2099.99989 	 -1.27491018576126964284 	 2.51982077945702039999 	 2.51982077945702039999 	 2.51982077945702039999
