#p[GPa] name_spacegroup number_spacegroup
100 'P4_22_12' 94
110 'P4_22_12' 94
120 'P4_22_12' 94
130 'P4_22_12' 94
140 'P4_22_12' 94
150 'P4_22_12' 94
160 'P4_22_12' 94
170 'P4_22_12' 94
180 'P4_22_12' 94
190 'P4_22_12' 94
200 'P4_22_12' 94
210 'P4_22_12' 94
220 'P4_22_12' 94
230 'P4_222' 93
240 'P4_22_12' 94
250 'P4_22_12' 94
260 'P4_22_12' 94
270 'P4_22_12' 94
280 'P4_22_12' 94
290 'P4_22_12' 94
300 'P4_22_12' 94
400 'P4_22_12' 94
500 'P4_22_12' 94
600 'P4_22_12' 94
700 'P4_22_12' 94
800 'P4_22_12' 94
900 'P4_22_12' 94
1000 'P4_22_12' 94
1100 'P4_22_12' 94
  
