#p[GPa] name_spacegroup number_spacegroup
100 'P4_2/nnm' 134
110 'P4_2/nnm' 134
120 'P4_2/nnm' 134
125 'P4_2/nnm' 134
130 'P4_2/nnm' 134
140 'P4_2/nnm' 134
150 'P4_2/nnm' 134
160 'P4_2/nnm' 134
170 'P4_2/nnm' 134
175 'P4_2/nnm' 134
180 'P4_2/nnm' 134
190 'P4_2/nnm' 134
200 'P4_2/nnm' 134
210 'P4_2/nnm' 134
220 'P4_2/nnm' 134
225 'P4_2/nnm' 134
230 'P4_2/nnm' 134
240 'Pn-3m' 224
250 'P4_2/nnm' 134
260 'P4_2/nnm' 134
270 'P4_2/nnm' 134
275 'P4_2/nnm' 134
280 'P4_2/nnm' 134
290 'P4_2/nnm' 134
300 'P4_2/nnm' 134
325 'P4_2/nnm' 134
350 'P4_2/nnm' 134
375 'P4_2/nnm' 134
400 'P4_2/nnm' 134
500 'P4_2/nnm' 134
600 'P4_2/nnm' 134
700 'P4_2/nnm' 134
800 'P4_2/nnm' 134
900 'P4_2/nnm' 134
1000 'P4_2/nnm' 134
1100 'P4_2/nnm' 134
  
