#p[GPa] name_spacegroup number_spacegroup
100 'Pn-3m' 224
110 'Pn-3m' 224
120 'Pn-3m' 224
125 'Pn-3m' 224
130 'Pn-3m' 224
140 'Pn-3m' 224
150 'Pn-3m' 224
160 'Pn-3m' 224
170 'Pn-3m' 224
175 'Pn-3m' 224
180 'Pn-3m' 224
190 'Pn-3m' 224
200 'Pn-3m' 224
210 'Pn-3m' 224
220 'Pn-3m' 224
225 'Pn-3m' 224
230 'Pn-3m' 224
240 'Pn-3m' 224
250 'Pn-3m' 224
260 'Pn-3m' 224
270 'Pn-3m' 224
275 'Pn-3m' 224
280 'Pn-3m' 224
290 'Pn-3m' 224
300 'Pn-3m' 224
325 'Pn-3m' 224
350 'Pn-3m' 224
375 'Pn-3m' 224
400 'Pn-3m' 224
500 'Pn-3m' 224
600 'Pn-3m' 224
700 'Pn-3m' 224
800 'Pn-3m' 224
900 'Pn-3m' 224
1000 'Pn-3m' 224
1100 'Pn-3m' 224
  
