#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-32.90347146 	 18.13921027293942802601 	 3.29559022143210701867 	 999.6772567 	 -10.79276050741324705449 	 2.62718565362459429999 	 2.62718565362459429999 	 2.62806950861333589999
-32.67124672 	 17.82320343251054842730 	 3.35402130298074968965 	 1100.502693 	 -10.21442463411554161712 	 2.61181432692767279999 	 2.61181432692767279999 	 2.61276990146467639999
-32.43544225 	 17.52941064988654361662 	 3.41023467325679388385 	 1200.724343 	 -9.64916014739021563038 	 2.59734125362796359999 	 2.59734125362796359999 	 2.59841962771848409999
-32.20181694 	 17.26010346821779437885 	 3.46344412767141827527 	 1298.62782 	 -9.10590873125605664071 	 2.58396395572538259999 	 2.58396395572538259999 	 2.58505919396853739999
-31.95599225 	 16.99710593774038101787 	 3.51703426565494227821 	 1399.753333 	 -8.55317326246903165670 	 2.57172740404130499999 	 2.57172740404130449999 	 2.56995261518167209999
-31.71257199 	 16.75321174522782523894 	 3.56823544697501021806 	 1499.65063 	 -8.01571345281949023720 	 2.55940553276498449999 	 2.55940553276498449999 	 2.55752488844837389999
-31.46974669 	 16.52428668239792746512 	 3.61766926155296474909 	 1599.625187 	 -7.48588746600840657195 	 2.54773177102423349999 	 2.54773177102423349999 	 2.54574743701579459999
-31.22105380 	 16.30386218179755361834 	 3.66657932540307618490 	 1699.9793 	 -6.96097250621896073240 	 2.53523260362651909999 	 2.53523260362651909999 	 2.53661684913379749999
-30.97410457 	 16.09692254471588164617 	 3.71371632272801838024 	 1799.020743 	 -6.44975371367000556972 	 2.52438217622291329999 	 2.52438217622291329999 	 2.52599591620173539999
-30.72242833 	 15.89733437423382044617 	 3.76034136244184627130 	 1900.227727 	 -5.93386559373024671551 	 2.51536383416567409999 	 2.51536383416567369999 	 2.51259611713718109999
-30.47395812 	 15.70923136472653657513 	 3.80536785104766511441 	 1999.10132 	 -5.43645391304588453846 	 2.50544518638999849999 	 2.50544518638999799999 	 2.50256360594280029999
-30.22223693 	 15.52792810006602687923 	 3.84979912418230541511 	 2099.413453 	 -4.93760199066564685629 	 2.49483284977873689999 	 2.49483284977873689999 	 2.49477052181690959999
-29.96742819 	 15.35268739811354255064 	 3.89374201726698210727 	 2200.577477 	 -4.44031426638273391478 	 2.48613097002236349999 	 2.48613097002236349999 	 2.48391311111110719999
-29.71527441 	 15.18670927593854507174 	 3.93629738436575210524 	 2300.570623 	 -3.95431479284179586990 	 2.47696980823996739999 	 2.47696980823996779999 	 2.47526814712920679999
-29.46265712 	 15.02729044190457229664 	 3.97805607279015927566 	 2400.605503 	 -3.47333273915717990318 	 2.46782145088504419999 	 2.46782145088504419999 	 2.46747755331267269999
-29.20992358 	 14.87402877492714751191 	 4.01904587550408295426 	 2500.680203 	 -2.99725635251804311807 	 2.45902406039202679999 	 2.45902406039202679999 	 2.45981848647577369999
-28.95700147 	 14.72648282648711136123 	 4.05931305555733396485 	 2600.735957 	 -2.52610668015217972927 	 2.45123533058307249999 	 2.45123533058307249999 	 2.45091934655850309999
-28.70391804 	 14.58424175383350672771 	 4.09890380377758238216 	 2700.75261 	 -2.05979732079385495717 	 2.44292462865192969999 	 2.44292462865192969999 	 2.44378907456513739999
-28.45101306 	 14.44710751639647505784 	 4.13781124921749776265 	 2800.738327 	 -1.59813249580040618810 	 2.43637252271894859999 	 2.43637252271894859999 	 2.43384837598502159999
-28.17908397 	 14.30684374114378728206 	 4.17837820008376104309 	 2899.693363 	 -1.14294843645305402925 	 2.41721479131890589999 	 2.41721479131887169999 	 2.44857464256876869999
-27.77462874 	 14.10443022319287778342 	 4.23834235442567851975 	 2998.61145 	 -.68848704943151994658 	 2.28327528938952719999 	 2.28327528938952719999 	 2.70544676982243179999
-25.03092605 	 12.91862090199328116553 	 4.62738278749060010298 	 4001.06992 	 3.61518817329064674357 	 2.14965230032649129999 	 2.14965230032649129999 	 2.79563014270919299999
-22.46116231 	 12.05342541595209507446 	 4.95953655803809938550 	 4999.672133 	 7.57607635127661392299 	 2.07290110251287499999 	 2.07290110251287499999 	 2.80513211205823909999
-19.98134140 	 11.36826601611042725220 	 5.25844521189812069439 	 6000.580763 	 11.29793010202756452855 	 2.01532907642471889999 	 2.01532907642471889999 	 2.79899605219919459999
-17.59324069 	 10.80859265700165637277 	 5.53072966083847478738 	 6996.01096 	 14.80159915957094460603 	 1.96918162370516709999 	 1.96918162370516709999 	 2.78738912492528269999
-15.25568930 	 10.33289509326061313780 	 5.78534897146006106763 	 7999.855727 	 18.16883320935368598919 	 1.93033632859667189999 	 1.93033632859667189999 	 2.77303947516138829999
-12.98471937 	 9.92472953270639317515 	 6.02327789417336814972 	 9000.649927 	 21.38503322621121351791 	 1.89710223281045409999 	 1.89710223281045409999 	 2.75763771374081259999
-10.77074064 	 9.56812458974237634226 	 6.24776605272126502934 	 10000.74845 	 24.47663240432540489904 	 1.86790029996320019999 	 1.86790029996320039999 	 2.74232825334334109999
-8.61347324 	 9.25333800390358854049 	 6.46030696974233727816 	 10998.24516 	 27.45333169627593920418 	 1.84208491160021049999 	 1.84208491160021119999 	 2.72696231122399399999
