#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-129.88503249 	 73.99272924446213560073 	 3.23163665459598336928 	 1001.94487 	 -10.45157309122773766378 	 3.31023429096325649999 	 3.31023429096325689999 	 6.75260864140379889999
-128.62269584 	 72.27506181414696279274 	 3.30843876155904774249 	 1102.77358 	 -9.85949734602423731989 	 3.28851066262345569999 	 3.28851066262345609999 	 6.68328471746098879999
-127.39864432 	 70.74616444668267574150 	 3.37993752552068352796 	 1201.12885 	 -9.29515748096152273116 	 3.26803876406769069999 	 3.26803876406769069999 	 6.62412471737335279999
-126.17533781 	 69.33360165694975185101 	 3.44879842220098639259 	 1300.624147 	 -8.73641365535413545966 	 3.24934622768330159999 	 3.24934622768330119999 	 6.56676965392253459999
-124.96150202 	 68.03080146540931408214 	 3.51484343634523908052 	 1399.969117 	 -8.18959162634647703790 	 3.23162667600281849999 	 3.23162667600281719999 	 6.51423195361632159999
-123.74192879 	 66.80861776594663050773 	 3.57914329013227824816 	 1501.394023 	 -7.64197644260724937469 	 3.21494837617400719999 	 3.21494837617400719999 	 6.46374893477123889999
-122.54142948 	 65.68068299201016014782 	 3.64060793991877146595 	 1600.536273 	 -7.11599916359581008611 	 3.19896939511803069999 	 3.19896939511803069999 	 6.41826271575806209999
-121.35628365 	 64.63223904236423520362 	 3.69966474228544879411 	 1700.53251 	 -6.59454284603896113346 	 3.18418447694009509999 	 3.18418447694009509999 	 6.37459737764530839999
-120.18509532 	 63.65318182644855695628 	 3.75656972894077938400 	 1800.715207 	 -6.08051717749681739342 	 3.16995273047732609999 	 3.16995273047732609999 	 6.33453215779531039999
-119.01526101 	 62.72638940571067670765 	 3.81207364660192731926 	 1901.239413 	 -5.57254319009814840409 	 3.15623070901590539999 	 3.15623070901590539999 	 6.29669717947261629999
-117.87280328 	 61.86599244138032430613 	 3.86508979430937457715 	 2000.347257 	 -5.07899558423210300249 	 3.14330956704181069999 	 3.14330956704181119999 	 6.26148977109549949999
-116.72066740 	 61.03919576989470264675 	 3.91744375042922516635 	 2100.996087 	 -4.58470174494826289273 	 3.13146636523985579999 	 3.13146636523985579999 	 6.22462654103153129999
-115.59111751 	 60.26511443134967679802 	 3.96776175165796999588 	 2200.768387 	 -4.10128238670216450517 	 3.11969818055622379999 	 3.11969818055622379999 	 6.19214084651901419999
-114.47050198 	 59.53014933769003893971 	 4.01674812948283008234 	 2300.254847 	 -3.62533768480005764376 	 3.10805108675099889999 	 3.10805108675099889999 	 6.16255310438858389999
-113.36989917 	 58.83785752558760267632 	 4.06400956894142071500 	 2400.712417 	 -3.15085655397301343394 	 3.09700991742212839999 	 3.09700991742212789999 	 6.13439388293127139999
-112.28642803 	 58.18302362678816955742 	 4.10974887681683408164 	 2499.158027 	 -2.69119223309091192281 	 3.08659463193185649999 	 3.08659463193185419999 	 6.10712899967002709999
-111.17856476 	 57.53892977536866476133 	 4.15575362512845625971 	 2600.84851 	 -2.22179471881032317852 	 3.07624887982702819999 	 3.07624887982702909999 	 6.08021368617323169999
-110.10364630 	 56.93695476114436394056 	 4.19969099160852319998 	 2700.911747 	 -1.76508326405623908720 	 3.06647891336391519999 	 3.06647891336391609999 	 6.05500171148292839999
-109.02777905 	 56.35571476471348785061 	 4.24300564722356906953 	 2800.51246 	 -1.31515466094345119501 	 3.05710593548045079999 	 3.05710593548045079999 	 6.02999546958315769999
-107.97521262 	 55.80643702062143645094 	 4.28476764986164474541 	 2900.337873 	 -.86896175782366229590 	 3.04786396695388179999 	 3.04786396695387779999 	 6.00749110752505899999
-106.92742806 	 55.27765190210348246648 	 4.32575566747076043581 	 3000.11429 	 -.42733703985228280028 	 3.03920732594459239999 	 3.03920732594458929999 	 5.98451461437545619999
-96.77849353 	 50.90627660939560592521 	 4.69721283752005620524 	 3998.570657 	 3.78361063961842255253 	 2.95949751974099319999 	 2.95949751974099139999 	 5.81213070547500979999
-86.95380898 	 47.60254815850417222053 	 5.02321042150517216535 	 4999.7036 	 7.69915637566997164185 	 2.89398753320002869999 	 2.89398753320002909999 	 5.68377515410299059999
-77.38411087 	 44.96221679993882093638 	 5.31819009422874723316 	 5999.305743 	 11.37195681767605617629 	 2.83856224108451639999 	 2.83856224108451589999 	 5.58021423334858289999
-68.02657932 	 42.77245267986037993927 	 5.59045836790626008442 	 6999.759723 	 14.85528249761432931999 	 2.79052547666905549999 	 2.79052547666906039999 	 5.49277957061729619999
-58.87454358 	 40.91283511127551342275 	 5.84456235676758462275 	 7999.83059 	 18.17592415663250209751 	 2.74807185035490909999 	 2.74807185035490909999 	 5.41755599242964439999
-49.91292748 	 39.30356320684401374267 	 6.08386610500398439113 	 8999.75864 	 21.35791759639269745795 	 2.70998060935014169999 	 2.70998060935013509999 	 5.35179608995929179999
-41.13408901 	 37.89110045027542458967 	 6.31065377248133976468 	 9999.565927 	 24.41916121826185817635 	 2.67540265119840459999 	 2.67540265119840859999 	 5.29369496018919609999
-32.51795465 	 36.63538124502588028508 	 6.52695858139775393652 	 10999.93992 	 27.37584243694190138749 	 2.64386766915849499999 	 2.64386766915849589999 	 5.24108601503041259999
