#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-131.67495368 	 72.65399818189256555574 	 3.29118316931930228558 	 999.4755433 	 -10.79395973684404335506 	 3.71889491473346329999 	 3.71606639447880659999 	 5.25729258088435449999
-130.68651886 	 71.29723234586232661672 	 3.35381343892904960144 	 1099.90274 	 -10.21757400534270876253 	 3.69356517963133729999 	 3.69359473429066439880 	 5.22609935249160262465
-129.74481855 	 70.12364256156027957509 	 3.40994288467092910475 	 1200.011383 	 -9.65287985032318506548 	 3.67352799956290399999 	 3.67360022623521279999 	 5.19624021694570709999
-128.78745123 	 69.01771752206784268960 	 3.46458307496975868140 	 1299.91971 	 -9.09877478256991208056 	 3.65413615146377729999 	 3.65411823020664619999 	 5.16884218816050379999
-127.82399656 	 67.98540018204562430468 	 3.51719068152442769452 	 1400.395737 	 -8.55009949979390535822 	 3.63550748492045809999 	 3.63548925418631749999 	 5.14384353595686949999
-126.85964251 	 67.01941045787345463893 	 3.56788599551025163423 	 1499.995303 	 -8.01431261930522475844 	 3.61669290508728289999 	 3.61688757394006369999 	 5.12334922039287829999
-125.88268765 	 66.10012011724678615582 	 3.61750652761082711710 	 1599.337263 	 -7.48746383593579075698 	 3.60076955297149714548 	 3.60071976658172499686 	 5.09820856413880936515
-124.89710886 	 65.22617303260513106562 	 3.66597647665869276885 	 1698.040067 	 -6.97103035242859533023 	 3.58595706040232842476 	 3.58612487275321881221 	 5.07214201989817233175
-123.89595271 	 64.38699662666130446958 	 3.71375632546566726923 	 1799.422977 	 -6.44777228033851176830 	 3.57013729791313319999 	 3.57016175155519666398 	 5.05155814778043887606
-122.89750691 	 63.59366585296741594822 	 3.76008542348942544169 	 1899.384237 	 -5.93838307834212906757 	 3.55564208651993282186 	 3.55591229298519912321 	 5.02973126903747399999
-121.89047391 	 62.83277882819411687534 	 3.80561898517695247228 	 2000.39127 	 -5.43010731389673362706 	 3.54141244516432651689 	 3.54138070239064293776 	 5.00999325986881443391
-120.88304166 	 62.10740509267952200364 	 3.85006611760993254407 	 2099.620503 	 -4.93656597271522039492 	 3.52769454687285929999 	 3.52756454067249109999 	 4.99088361257399169999
-119.87289583 	 61.41398104390735415830 	 3.89353713821361109848 	 2198.70486 	 -4.44912990212070211847 	 3.51310045137699189999 	 3.51317763048959816914 	 4.97595648639771689847
-118.89244372 	 60.76706153297917842036 	 3.93498731002859750624 	 2296.97996 	 -3.97162626321201177282 	 3.50070496641844769999 	 3.50067695425716785067 	 4.95861842497500057222
-117.86561542 	 60.12140990002779850735 	 3.97724565005401575766 	 2398.694883 	 -3.48187408502533811152 	 3.48937598588365990766 	 3.48938418136909449289 	 4.93778982927519180878
-116.84315008 	 59.50318544663026636995 	 4.01856832042160029961 	 2499.570547 	 -3.00146033090430814899 	 3.47537608240739273784 	 3.47554802300647920041 	 4.92623487225117885362
-115.83538823 	 58.91302240069255219886 	 4.05882445435678499834 	 2599.677303 	 -2.53045656492049213928 	 3.46580452853517999999 	 3.46584233790193429999 	 4.90454175547419699999
-114.82137284 	 58.34287622193994855585 	 4.09848864993185525988 	 2699.557127 	 -2.06470643208091593278 	 3.45381339835676469999 	 3.45390588251466819999 	 4.89078381626478719999
-113.81034404 	 57.79353649750489649603 	 4.13744564689034655512 	 2799.68951 	 -1.60253226337093394956 	 3.44302615633361769999 	 3.44301761458126789999 	 4.87528157831269299999
-111.99107541 	 56.85957654024126768876 	 4.20540620507029494252 	 2900.163337 	 -1.13341334048806138802 	 3.50609715445906550051 	 3.54943381901111638947 	 4.56899404207705920463
-110.98383009 	 56.34807582523984400566 	 4.24358085876097797645 	 2999.770187 	 -.68535072825071415367 	 3.49569294840163204325 	 3.53914746087987607106 	 4.55456761406606800298
-99.87819219 	 51.54117043586534766334 	 4.63935168677520056512 	 3999.480977 	 3.59787284683119466312 	 3.41868744451351429999 	 3.52305271496054929999 	 4.27932960357925379999
-89.50519463 	 48.05396405540155929104 	 4.97602270073537707132 	 4999.944963 	 7.55722240226552344957 	 3.34556688777604409999 	 3.48182899118974819999 	 4.12526702186301899999
-79.56605461 	 45.31964479809217040157 	 5.27624647248043257366 	 5996.102473 	 11.25518516422814763003 	 3.28306640670799869999 	 3.44063527664401649999 	 4.01206714077191679999
-69.91866807 	 43.06204781570788878163 	 5.55286216353083558454 	 7002.178387 	 14.78504902597907262745 	 3.22860299937028736489 	 3.39886940610696541668 	 3.92414959325165699999
-60.66867462 	 41.16578266884434936097 	 5.80864981782484763513 	 7999.2671 	 18.10772211400918897301 	 3.18142664226652269999 	 3.36571137779514279999 	 3.84447987975257369999
-51.30724193 	 39.48473372182123312741 	 6.05595108440231621921 	 8999.23175 	 21.30921422295793499261 	 3.13810609704427709999 	 3.32457993765747159999 	 3.78464205632997339999
-42.00762719 	 37.98781861373261049033 	 6.29458665240543433849 	 9998.939173 	 24.38356652883171536476 	 3.09896807530046869999 	 3.28107688274692099999 	 3.73603422793398779999
-33.02270105 	 36.67792240131379831276 	 6.51938824079727151418 	 10998.94091 	 27.34639933955829495029 	 3.06434653636500979999 	 3.24244173692300559999 	 3.69143027480184879999
