#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-130.73124201 	 74.96830180857069176359 	 3.18958293347206469365 	 	 	 3.87437076086624794356 	 4.15712348041702287198 	 7.35799205773202496689
-129.84329301 	 73.09039340549431552073 	 3.27153275360569022214 	 	 	 3.84556678210894769683 	 4.12463228648180686006 	 7.30226093389173898259
-128.66650207 	 71.39230977116307728276 	 3.34934696421021048908 	 	 	 3.80415710579968832997 	 4.12177897171666116798 	 7.24419661695528262924
-127.43045100 	 70.89557996914118950053 	 3.37281415998121509144 	 	 	 3.76806999999999979999 	 4.09425999997518242535 	 7.22344000000352992571
-126.25019590 	 69.48339571813430894176 	 3.44136341536908007857 	 	 	 3.74705999999999979999 	 4.06853000004856537836 	 7.17162999996630086441
-124.99061342 	 68.13161506524169229999 	 3.50964256125478575453 	 	 	 3.73139999999999979999 	 4.07860000002638877170 	 7.11826000000375578739
-124.00732935 	 67.07684921091916632526 	 3.56483076967597070591 	 	 	 3.71637000000000000000 	 4.01939000000299930795 	 7.08317999999948984849
-122.58456182 	 65.77066563203093870139 	 3.63562712498301751135 	 	 	 3.70276000000000009999 	 4.00263000004121144085 	 7.03018999995869729232
-121.67668491 	 64.90034326466129994171 	 3.68438137568682550151 	 	 	 3.68653999999999989999 	 3.98364000000024251374 	 6.99916000000494679071
-120.75075645 	 64.06370914662239091138 	 3.73249721543178735098 	 	 	 3.67164000000000000000 	 3.96432000001183438410 	 6.96900999998399547813
-119.81606862 	 63.26408580130145427330 	 3.77967393302759031109 	 	 	 3.65699000000000000000 	 3.94589000004239589688 	 6.93982999998513756482
-118.87205124 	 62.49707324297314347334 	 3.82606102321575805747 	 	 	 3.64276000000000000000 	 3.92837000004776613789 	 6.91165000003743383926
-117.93195972 	 61.76975576380180716080 	 3.87111156654641077580 	 	 	 3.62950000000000019999 	 3.91048000004300407170 	 6.88511000002077860025
-116.99016234 	 61.07507746042696706674 	 3.91514224693262244450 	 	 	 3.61643999999999989999 	 3.89440000002504649055 	 6.85905000000039593455
-116.04720007 	 58.67115313851998377303 	 4.07555678061165664979 	 	 	 3.56899638716961623327 	 3.83859982587236567452 	 6.76835823166215915659
-115.09828435 	 58.07032501210874255892 	 4.11772477509191709827 	 	 	 3.55741235231641923244 	 3.82439312289603877157 	 6.74512396021893925855
-114.14795596 	 57.49264582233586748367 	 4.15909917833530826826 	 	 	 3.54617402955301922254 	 3.81004960707183649799 	 6.72277702754029318572
-113.20037450 	 56.93665020072203348799 	 4.19971345621888493616 	 	 	 3.53511572328592318385 	 3.79674034603345646896 	 6.70105667439833468766
-112.24298223 	 56.40169710903325892778 	 4.23954647211675974517 	 	 	 3.52448758658449992451 	 3.78311665887813407952 	 6.68012828553093253079
-111.29371633 	 55.88444558016422418230 	 4.27878658395195838627 	 	 	 3.51411983763093718991 	 3.77025508614463715568 	 6.65969808359736546486
-110.34410976 	 55.38348925503590898849 	 4.31748918705510266121 	 	 	 3.50409866660951595579 	 3.75765934055800921180 	 6.63984183071573455603
-100.83098117 	 51.14425515743421029165 	 4.67535630862037137348 	 	 	 3.41611622206479131091 	 3.64794187301084532741 	 6.46668840180118274009
-91.43869204 	 47.89088880402477297056 	 4.99296676197632904097 	 	 	 3.34453127340065024643 	 3.55972031986101805912 	 6.32751205028913901226
-82.20207521 	 45.27533615654795728586 	 5.28141006337768631886 	 	 	 3.28478360808641665628 	 3.48599151426231308771 	 6.21080526132064825697
-73.12646450 	 43.10771367801840136030 	 5.54697977689156553710 	 	 	 3.23305075999250933869 	 3.42316448017178033771 	 6.11073452468130006958
-64.22333368 	 41.25879385836742869295 	 5.79555516869541510821 	 	 	 3.18745242350973814468 	 3.36802667518653047301 	 6.02269473400378290584
-55.49565094 	 39.66007479681153406874 	 6.02917713153742780831 	 	 	 3.14678170460248505929 	 3.31929267696501674092 	 5.94436891507957506130
-46.93435952 	 38.25504375464663144320 	 6.25061671693829098871 	 	 	 3.10999330679360128754 	 3.27556926677339629357 	 5.87387771642332672794
-38.53995056 	 37.00767110574302253566 	 6.46129866742391731165 	 	 	 3.07654213083297563780 	 3.23613488202967722137 	 5.80982293898610523388
