#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-32.90496170 	 18.13790113484160374798 	 3.29582808703086730196 	 999.95504 	 -10.79234168258769148737 	 2.62741702747329639999 	 2.62741702747329639999 	 2.62741702747329639999
-32.67127027 	 17.82321538312685045999 	 3.35401905408116568346 	 1100.32502 	 -10.21542055541901381032 	 2.61213339675470289999 	 2.61213339675470289999 	 2.61213339675470289999
-32.43545764 	 17.52943541153036826094 	 3.41022985604423938864 	 1200.52202 	 -9.65026537306681705610 	 2.59770188507278949999 	 2.59770188507278949999 	 2.59770188507278949999
-32.19659359 	 17.25428971947984565713 	 3.46461111827222364036 	 1300.62006 	 -9.09492569775167073369 	 2.58403878974085719999 	 2.58403878974085719999 	 2.58403878974085719999
-31.95472681 	 16.99517728365370172891 	 3.51743338726433970753 	 1400.83601 	 -8.54764075581336341651 	 2.57103841939199639999 	 2.57103841939199639999 	 2.57103841939199639999
-31.71094839 	 16.75110666576112906475 	 3.56868386028415102274 	 1500.85003 	 -8.00961684432051146710 	 2.55867132110239129999 	 2.55867132110239129999 	 2.55867132110239129999
-31.46733007 	 16.52207369369194659959 	 3.61815381702500863972 	 1600.11223 	 -7.48327262950066978796 	 2.54695644537823139999 	 2.54695644537823139999 	 2.54695644537823139999
-31.22008129 	 16.30300501034010178493 	 3.66677210502512899995 	 1700.18383 	 -6.95990039825546342021 	 2.53564949624038499999 	 2.53564949624038499999 	 2.53564949624038499999
-30.97188179 	 16.09511363734275332096 	 3.71413370212584404253 	 1800.00683 	 -6.44470489254767529121 	 2.52482539130934879999 	 2.52482539130934879999 	 2.52482539130934879999
-30.72247067 	 15.89695919348534869979 	 3.76043010945753014840 	 1899.98719 	 -5.93530256757609255178 	 2.51442114262243209999 	 2.51442114262243209999 	 2.51442114262243209999
-30.47202284 	 15.70779095187257202212 	 3.80571680532032552841 	 1999.97775 	 -5.43208863023131579432 	 2.50440774159165919999 	 2.50440774159165879999 	 2.50440774159165919999
-30.22078966 	 15.52690780273171690669 	 3.85005210048859487562 	 2100.01372 	 -4.93463819556770731257 	 2.49475743001445019999 	 2.49475743001445019999 	 2.49475743001445019999
-29.96744274 	 15.35268509372071716949 	 3.89374260170619347004 	 2200.58409 	 -4.44029143973589378118 	 2.48539133942235859999 	 2.48539133942235859999 	 2.48539133942235859999
-29.71531401 	 15.18672199519103262828 	 3.93629408762006111871 	 2300.56807 	 -3.95433756073007955176 	 2.47640314927763019999 	 2.47640314927763019999 	 2.47640314927763019999
-29.46265034 	 15.02728620247550434422 	 3.97805719506109507198 	 2400.60921 	 -3.47331514068862121280 	 2.46770658097639159999 	 2.46770658097639159999 	 2.46770658097639159999
-29.20990403 	 14.87402570660981174156 	 4.01904670458078191314 	 2500.67915 	 -2.99725385987028617141 	 2.45928867146849489999 	 2.45928867146849489999 	 2.45928867146849489999
-28.95586491 	 14.72731288872414824408 	 4.05908426416129397423 	 2600.34465 	 -2.52666315999409030300 	 2.45117605005462379999 	 2.45117605005462379999 	 2.45117605005462379999
-28.70391963 	 14.58423857078762922091 	 4.09890469837340180631 	 2700.75696 	 -2.05978100007249710683 	 2.44321256556284319999 	 2.44321256556284319999 	 2.44321256556284319999
-28.45102534 	 14.44710671375391436913 	 4.13781147910321000403 	 2800.73139 	 -1.59817061341375386919 	 2.43553080463829999999 	 2.43553080463829999999 	 2.43553080463829999999
-28.19810136 	 14.31461213180060081359 	 4.17611063782840281456 	 2900.77206 	 -1.14060853787952369122 	 2.42806250024579429999 	 2.42806250024579429999 	 2.42806250024579429999
-27.94518473 	 14.18647041080250581536 	 4.21383207161099455305 	 3000.84007 	 -.68712575372854497767 	 2.42079558631166499999 	 2.42079558631166499999 	 2.42079558631166549999
-25.43200966 	 13.10075065782433915409 	 4.56305180988214099485 	 4001.09371 	 3.64215734625736104451 	 2.35739338377633609999 	 2.35739338377633609999 	 2.35739338377633609999
-22.95842477 	 12.26696358305440248647 	 4.87320302169799680561 	 5001.27073 	 7.66674314826484723249 	 2.30628173032382029999 	 2.30628173032382029999 	 2.30628173032382029999
-20.53735878 	 11.59693658453560170862 	 5.15475820396528113828 	 6000.81738 	 11.44899402509681031252 	 2.26350310251623729999 	 2.26350310251623729999 	 2.26350310251623729999
-18.16795359 	 11.04080840812739986688 	 5.41440461515435487962 	 7000.61203 	 15.03708876061237741229 	 2.22672691135899649999 	 2.22672691135899649999 	 2.22672691135899649999
-15.84894122 	 10.56818947496508838880 	 5.65654165660173110995 	 8000.85382 	 18.46292523893001863511 	 2.19448961692571659999 	 2.19448961692571659999 	 2.19448961692571659999
-13.57847762 	 10.15924151629889625426 	 5.88423888772536816195 	 9001.17997 	 21.74855103644951945098 	 2.16581036757916269999 	 2.16581036757916269999 	 2.16581036757916269999
-11.35368483 	 9.80021016901451100246 	 6.09980836829454383365 	 10000.55237 	 24.90889694206686681277 	 2.13999025885851159999 	 2.13999025885851159999 	 2.13999025885851159999
-9.17126479 	 9.48119316777073534485 	 6.30505074015443003192 	 11001.00709 	 27.96467129891278077910 	 2.11651328248290719999 	 2.11651328248290719999 	 2.11651328248290719999
