#p[GPa] name_spacegroup number_spacegroup
100 'P4_322' 95
110 'P4_322' 95
120 'P4_322' 95
130 'P4_322' 95
140 'P4_322' 95
150 'P4_322' 95
160 'P4_322' 95
170 'P4_322' 95
180 'P4_322' 95
190 'P4_322' 95
200 'P4_322' 95
210 'P4_322' 95
220 'P4_322' 95
230 'P4_322' 95
240 'P4_322' 95
250 'P4_322' 95
260 'P4_322' 95
270 'P4_322' 95
280 'P4_322' 95
290 'P4_322' 95
300 'P4_322' 95
400 'P4_322' 95
500 'P4_322' 95
600 'P4_322' 95
700 'P4_322' 95
800 'P4_322' 95
900 'P4_322' 95
1000 'P4_322' 95
1100 'P4_322' 95
