P/GPa	chemPot/meV
25	16687.109763570108
26	16778.486805008004
27	16868.4283611708
28	16957.020550257577
29	17044.344574455372
30	17130.47691646899
31	17215.48953203657
32	17299.450038429924
33	17382.421898938665
34	17464.46460333682
35	17545.63384433064
36	17625.981689986107
37	17705.556752134307
38	17784.404350752986
39	17862.56667432211
40	17940.082936151117
41	18016.989526675203
42	18093.320161717664
43	18169.106026714813
44	18244.37591689961
45	18319.156373439688
46	18393.471815525045
47	18467.344668400827
48	18540.79548734068
49	18613.84307755726
50	18686.50461004828
51	18758.795733379717
52	18830.730681412784
53	18902.322376988825
54	18973.582531597196
55	19044.521741065902
56	19115.149577333985
57	19185.474676387796
58	19255.5048224687
59	19325.24702868316
60	19394.70761416193
61	19463.892277914336
62	19532.80616949805
63	19601.45395656946
64	19669.839889296425
65	19737.967861516252
66	19805.84146842845
67	19873.46406054673
68	19940.838793614686
69	20007.968674217438
70	20074.856600883686
71	20141.505400549653
72	20207.917860325346
73	20274.09675454998
74	20340.044867140066
75	20405.765009219846
76	20471.26003198188
77	20536.53283465673
78	20601.58636737317
79	20666.42362855871
80	20731.047656355116
81	20795.46151329724
82	20859.668263230484
83	20923.67093916817
84	20987.47250066185
85	21051.075779623403
