P/GPa	chemPot/meV
25	16691.744320364527
26	16783.134559096256
27	16873.090356063796
28	16961.697835125047
29	17049.03819824738
30	17135.18792196839
31	17220.218949884507
32	17304.19888116732
33	17387.19115510779
34	17469.255231688217
35	17550.44676818198
36	17630.817791781155
37	17710.41686825186
38	17789.289266617423
39	17867.47711986937
40	17945.019581706183
41	18021.95297929988
42	18098.310962090378
43	18174.12464660766
44	18249.42275732175
45	18324.23176352049
46	18398.5760122151
47	18472.477857073536
48	18545.957783381687
49	18619.034529032306
50	18691.725201541813
51	18764.045391094834
52	18836.0092796166
53	18907.629745873073
54	18978.91846659895
55	19049.8860136534
56	19120.541947203656
57	19190.89490493636
58	19260.952687296733
59	19330.722338755553
60	19400.2102251039
61	19469.42210677573
62	19538.36320819824
63	19607.038283170037
64	19675.45167626708
65	19743.60738027647
66	19811.509089657986
67	19879.160250033477
68	19946.564103704
69	20013.723731194787
70	20080.64208882802
71	20147.322042323365
72	20213.766396426367
73	20279.977920564586
74	20345.959370531553
75	20411.71350619856
76	20477.24310525419
77	20542.550972971683
78	20607.639948004107
79	20672.5129042073
80	20737.17274849064
81	20801.62241469561
82	20865.864853502124
83	20929.90301836272
84	20993.739847464494
85	21057.378241718878
