T/K	chemPot/meV
400	2.1268890380068632
425	728.4174410868019
450	1453.3159805506054
475	2176.893969929219
500	2899.218277470792
525	3620.348898430653
550	4340.338563978999
575	5059.233099719769
600	5777.072125027908
625	6493.890079908354
650	7209.717492886603
675	7924.58217389704
700	8638.510026519409
725	9351.525444715631
750	10063.651445359877
775	10774.909677683716
800	11485.320373615465
825	12194.902246215666
850	12903.672314398633
875	13611.645621381318
900	14318.834828117262
925	15025.249730660262
950	15730.896891743301
975	16435.7796897891
1000	17139.898927467784
