T/K	chemPot/meV
400	-4.96076701285373
425	721.0944814553627
450	1445.7709839142206
475	2169.1428648390256
500	2891.271865771263
525	3612.2121752403086
550	4332.012884101437
575	5050.719315211457
600	5768.373718181808
625	6485.015403892269
650	7200.680451882506
675	7915.401342500983
700	8629.206847326359
725	9342.122234593387
750	10054.169655679876
775	10765.368585407376
800	11475.736263361958
825	12185.28813811868
850	12894.038343611563
875	13602.0002463264
900	14309.187087127584
925	15015.612672997197
950	15721.291931938598
975	16426.241030806636
1000	17130.47691646899
