P/GPa	chemPot/meV
25	-406.1851945949186
26	-323.59515276900527
27	-241.72959897490833
28	-160.53805774509095
29	-79.97509858684052
30	0.
31	79.42357611873857
32	158.32789968805972
33	236.7414772743609
34	314.689346548388
35	392.1933603710531
36	469.2724605141207
37	545.942941022382
38	622.2187012249889
39	698.1114884048169
40	773.6311301360446
41	848.785756301545
42	923.5820108031352
43	998.0252529791082
44	1072.1197487445609
45	1145.8688514705623
46	1219.275172617663
47	1292.340742136893
48	1365.0671586461735
49	1437.455729380444
50	1509.5075998977036
51	1581.2238734980629
52	1652.6057202756951
53	1723.654475671491
54	1794.3717283254382
55	1864.7593969435559
56	1934.8197958014243
57	2004.555688420346
58	2073.9703288983874
59	2143.067490390684
60	2211.851480344577
61	2280.327142322463
62	2348.4998445721126
63	2416.375455871488
64	2483.960309492688
65	2551.261156309845
66	2618.285108071997
67	2685.039571690926
68	2751.532175124948
69	2817.770685162985
70	2883.7629172049674
71	2949.516637039098
72	3015.039454644801
73	3080.338710193948
74	3145.4213526700073
75	3210.2938118757843
76	3274.9618650774646
77	3339.430500174463
78	3403.7037781237527
79	3467.7846983451723
80	3531.6750717379796
81	3595.3754059903667
82	3658.884805373794
83	3722.200879449449
84	3785.319640016848
85	3848.2353472670775
