T/K	VIIprimeprime	VIIprime
1200	-34.737569234511184	-91.91475194284298
1205	-34.56354080396808	-90.8491820802817
1210	-34.387325602764584	-89.78445109143087
1215	-34.20893823144298	-88.72060394432448
1220	-34.02839259452534	-87.65768508221234
1225	-33.84570195344675	-86.59573844404433
1230	-33.66087898405749	-85.53480749055397
1235	-33.47393583843971	-84.47493523591463
1240	-33.284884210665226	-83.41616428472547
1245	-33.09373540592215	-82.35853687394575
1250	-32.90050041222985	-81.3020949189823
1255	-32.70518997376273	-80.24688006306164
1260	-32.50781466465959	-79.19293372870833
1265	-32.308384961989	-78.14029716999914
1270	-32.106911316545634	-77.0890115242369
1275	-31.903404220097734	-76.0391178615845
1280	-31.69787426781793	-74.99065723131659
1285	-31.49033221477539	-73.94367070352592
1290	-31.280789025594224	-72.89819940526806
1295	-31.069255916665465	-71.85428455047428
1300	-30.85574439056216	-70.81196746319851
1305	-30.640266262654592	-69.77128959407095
1310	-30.42283368011792	-68.73229253016113
1315	-30.203459133825145	-67.69501799854264
1320	-29.98215546374522	-66.65950786419447
1325	-29.75893585861434	-65.62580412294494
1330	-29.533813850710793	-64.59394889009951
1335	-29.306803306567527	-63.56398438568636
1340	-29.077918414499873	-62.535952917007656
1345	-28.847173669645894	-61.509896859218664
1350	-28.614583857312688	-60.48585863462359
1355	-28.380164035191417	-59.46388069122218
1360	-28.143929515006455	-58.44400548103564
1365	-27.905895844010775	-57.42627543858313
1370	-27.666078786738353	-56.41073295984736
1375	-27.42449430722896	-55.39742038196861
1380	-27.181158552000745	-54.38637996383986
1385	-26.936087833878233	-53.37765386775081
1390	-26.689298616826918	-52.371284142161244
1395	-26.440807501800077	-51.367312705573084
1400	-26.19063121369361	-50.36578133166295
1405	-25.9387865893603	-49.366731635463864
1410	-25.685290566691002	-48.37020506072963
1415	-25.430160174741975	-47.3762428683646
1420	-25.173412524837318	-46.38488612583552
1425	-24.91506480262142	-45.39617569758158
1430	-24.65513426098572	-44.41015223629593
1435	-24.39363821382304	-43.426856175014706
1440	-24.130594030546337	-42.44632772000967
1445	-23.86601913129769	-41.46860684434227
1450	-23.599930982800817	-40.493733282048595
1455	-23.33234709477472	-39.52174652292558
1460	-23.06328501686621	-38.55268580780279
1465	-22.792762336028968	-37.58659012428989
1470	-22.52079667428313	-36.62349820293712
1475	-22.247405686809206	-35.66344851373591
1480	-21.972607060314115	-34.70647926298869
1485	-21.696418511590487	-33.75262839039792
1490	-21.41885778625214	-32.801933566412494
1495	-21.13994265753997	-31.854432189812826
1500	-20.85969092517434	-30.91016138540553
1505	-20.578120414193993	-29.969158001909882
1510	-20.295248973709132	-29.031458609913567
1515	-20.011094475525695	-28.097099499942136
1520	-19.725674812572716	-27.166116680568486
1525	-19.439007897098435	-26.238546403626486
1530	-19.151111658564293	-25.314423090348125
1535	-18.86200404119637	-24.39378237749039
1540	-18.571703001120802	-23.476659126006858
1545	-18.280226503087377	-22.563087905625395
1550	-17.987592516670297	-21.653102992920534
1555	-17.69381901197307	-20.746738369344456
1560	-17.398923954749183	-19.84402771916295
1565	-17.102925300953522	-18.9450044273429
1570	-16.805840990661267	-18.049701577311907
1575	-16.507688941384362	-17.158151948661107
1580	-16.2084870407334	-16.27038801472651
1585	-15.90825313845327	-15.386441940062111
1590	-15.607005037844505	-14.506345577831915
1595	-15.304760486578854	-13.630130467103744
1600	-15.001537166927907	-12.757827830040947
1605	-14.697352685479425	-11.889468569009523
1610	-14.392224562345152	-11.02508326362263
1615	-14.086170219966949	-10.164702167740854
1620	-13.779206971539843	-9.308355206421307
1625	-13.471352009174439	-8.456071972880002
1630	-13.162622391830675	-7.607881725423608
1635	-12.8530350331817	-6.763813384509893
1640	-12.54260668943407	-5.923895529818632
1645	-12.231353947266102	-5.088156397516066
1650	-11.919293211946847	-4.256623877673929
1655	-11.60644069577876	-3.429325511906403
1660	-11.292812406955424	-2.606288491316049
1665	-10.978424138948046	-1.7875396547806985
1670	-10.663291460549205	-0.9731054876587619
1675	-10.347429706633235	-0.1630121209243564
1680	-10.030853969810982	0.6427146690855857
1685	-9.713579093009749	1.4440494603736171
1690	-9.39561966308418	2.2409671843166343
1695	-9.076990005571835	3.033443123926449
1700	-8.757704180609682	3.8214529113832065
1705	-8.437775980117076	4.60497252470239
1710	-8.11721892623566	5.383978283560782
1715	-7.796046271120623	6.158446844209084
1720	-7.474270998000445	6.928355193505025
1725	-7.151905823599204	7.693680642013319
1730	-6.8289632017926225	8.454400816255662
1735	-6.505455328541719	9.210493650054019
1740	-6.181394147963167	9.961937375124675
1745	-5.856791359521913	10.70871051089864
1750	-5.531658426159462	11.450791853695947
1755	-5.206006583383581	12.188160465296452
1760	-4.879846849019955	12.920795661101868
1765	-4.553190033652049	13.64867699788954
1770	-4.226046751520044	14.371784261364589
1775	-3.898427431761712	15.09009745356961
1780	-3.5703423298622714	15.803596780323756
1785	-3.2418015391794026	16.512262638735624
1790	-2.9128150023891	17.216075605015185
1795	-2.5833925227847554	17.915016422544454
1800	-2.2535437752679424	18.609065990425666
1805	-1.9232783169675995	19.298205352469648
1810	-1.5926055973943358	19.982415686836337
1815	-1.2615349680947665	20.661678296186196
1820	-0.930075691696762	21.335974598592117
1825	-0.5982369503729382	22.00528611906684
1830	-0.2660278536430873	22.669594481810364
1835	0.06654255444158895	23.32888140315604
1840	0.39946528877392046	23.98312868518388
1845	0.7327314173092173	24.632318210041376
1850	1.0663320557731155	25.276431934883163
1855	1.4002583629877945	25.915451887429693
1860	1.7345015367638865	26.54936016211997
1865	2.0690528102925505	27.178138916788832
1870	2.4039034490415214	27.801770369862002
1875	2.739044748135818	28.420236798004204
1880	3.074468030115693	29.033520534174915
1885	3.4101646430773087	29.641603966084293
1890	3.7461259591900156	30.24446953498381
1895	4.082343373472416	30.842099734733765
1900	4.418808302867306	31.43447711114685
1905	4.755512185548997	32.02158426159495
1910	5.09244648043011	32.60340383473759
1915	5.429602666869285	33.17991853051576
1920	5.766972244510727	33.75111110021454
1925	6.104546733265067	34.316964346683775
1930	6.442317673415219	34.877461124633
1935	6.7802766257807505	35.43258434105009
1940	7.118415172003502	35.98231695561841
1945	7.45672491483987	36.52664198123092
1950	7.795197478557627	37.06554248452715
1955	8.133824509319368	37.599001586449866
1960	8.472597675631379	38.12700246281502
1965	8.811508668777146	38.64952834487963
1970	9.150549203295402	39.16656251991297
1975	9.48971101741626	39.67808833179169
1980	9.828985873561244	40.18408918150852
1985	10.168365558767201	40.68454852773994
1990	10.50784188514957	41.179449887348376
1995	10.84740669033472	41.66877683586482
2000	11.187051837887614	42.152513007982606
