T/K	VIIprimeprime	VIIprime
1200	-35.27153217979423	-96.12506510425968
1205	-35.10038783406869	-95.03099681470611
1210	-34.926572959875834	-93.93653816282121
1215	-34.750119855688574	-92.84173574560606
1220	-34.57106112999421	-91.7466359312238
1225	-34.389429653105665	-90.65128484776963
1230	-34.2052585043386	-89.55572836631464
1235	-34.01858091478263	-88.46001207821364
1240	-33.82943020604821	-87.3641812669175
1245	-33.63783972560404	-86.2682808747558
1250	-33.44384277943252	-85.17235546535842
1255	-33.247472562997146	-84.07644918270395
1260	-33.048762091684516	-82.98060570790254
1265	-32.8477441319981	-81.88486821507527
1270	-32.64445113486738	-80.78927932770677
1275	-32.43891517243167	-79.69388107687013
1280	-32.23116787959414	-78.59871486275613
1285	-32.021240401437275	-77.50382142058982
1290	-31.809163347405253	-76.40924079202127
1295	-31.594966752906377	-75.31501230258966
1300	-31.378680048611102	-74.22117454579765
1305	-31.160332037519876	-73.12776537380215
1310	-30.93995087957239	-72.03482189464262
1315	-30.717564083323985	-70.94238047562075
1320	-30.4931985040509	-69.85047675224445
1325	-30.266880347539594	-68.75914564206353
1330	-30.038635178716586	-67.66842136265656
1335	-29.808487934279636	-66.57833745293887
1340	-29.57646293849742	-65.48892679707097
1345	-29.34258392138938	-64.40022165022668
1350	-29.106874038611267	-63.31225366555925
1355	-28.8693558923852	-62.22505392180565
1360	-28.63005155297135	-61.138652951048826
1365	-28.388982580223118	-60.05308076622273
1370	-28.14617004487075	-58.96836688804009
1375	-27.901634549260496	-57.88454037112497
1380	-27.655396247329048	-56.80162982912148
1385	-27.407474863649696	-55.71966345869862
1390	-27.15788971146181	-54.638669062369665
1395	-26.90665970962093	-53.558674070039984
1400	-26.653803398419935	-52.479705559354734
1405	-26.39933895429882	-51.4017902747857
1410	-26.14328420344474	-50.324954645526134
1415	-25.885656634335806	-49.249224802264486
1420	-25.626473409232386	-48.17462659285629
1425	-25.365751374715067	-47.10118559693262
1430	-25.10350707128834	-46.02892713961853
1435	-24.83975674214244	-44.95787630427985
1440	-24.574516341095283	-43.888057944499884
1445	-24.307801539819188	-42.819496695271646
1450	-24.039627734400494	-41.75221698348257
1455	-23.770010051285517	-40.68624303777444
1460	-23.49896335269026	-39.62159889782666
1465	-23.226502241522923	-38.55830842309992
1470	-22.952641065894106	-37.4963953011399
1475	-22.677393923275385	-36.43588305540643
1480	-22.400774664331266	-35.376795052777574
1485	-22.12279689655389	-34.31915451068776
1490	-21.843473987675303	-33.262984503978664
1495	-21.562819068985046	-32.208307717716366
1500	-21.280845038571062	-31.155147423771375
1505	-20.997564564542575	-30.10352609795188
1510	-20.71299008833839	-29.05346630942267
1515	-20.42713382809281	-28.00499051587806
1520	-20.140007782204258	-26.958121069299086
1525	-19.851623733090808	-25.91288022162641
1530	-19.561993251247852	-24.869290130324053
1535	-19.2711276995906	-23.827372863964776
1540	-18.979038238201326	-22.78715040771639
1545	-18.68573582948314	-21.748644668839955
1550	-18.391231243771436	-20.71187748221089
1555	-18.09553506546096	-19.67687061581918
1560	-17.798657699658076	-18.643645776300982
1565	-17.500609379408242	-17.612224614545692
1570	-17.20140017351309	-16.58262873129464
1575	-16.901039994934415	-15.554879682819024
1580	-16.59953860983616	-14.528998986666176
1585	-16.296905647217677	-13.505008127445407
1590	-15.993150609154311	-12.482928562649159
1595	-15.688282881626368	-11.462781728610459
1600	-15.382311745889485	-10.444589046425826
1605	-15.075246390363585	-9.428371927953386
1610	-14.767095922989173	-8.414151781854635
1615	-14.45786938399645	-7.4019500196494965
1620	-14.147575758989543	-6.391788061733575
1625	-13.836223992341123	-5.383687343424593
1630	-13.523823000707011	-4.377669320889078
1635	-13.210381686695769	-3.373755477036853
1640	-12.895908952460262	-2.371967327262215
1645	-12.58041371324437	-1.3723264250083902
1650	-12.263904910668456	-0.3748543671596158
1655	-11.946391525696377	0.6204272008724753
1660	-11.62788259118289	1.6134965803867665
1665	-11.308387203845182	2.604332014951385
1670	-10.98791453560519	3.592911686479976
1675	-10.666473844131536	4.57921371177663
1680	-10.344074482548217	5.563216139616443
1685	-10.020725908157177	6.544896948564253
1690	-9.696437690099541	7.524234045364104
1695	-9.371219515912163	8.501205264186439
1700	-9.045081196858783	9.475788366626904
1705	-8.718032671998394	10.447961042617148
1710	-8.390084010980354	11.417700912151762
1715	-8.061245415486972	12.384985528020733
1720	-7.731527219352469	13.34979237941221
1725	-7.400939887363306	14.312098896477206
1730	-7.069494012766721	15.271882455797005
1735	-6.737200313498564	16.22912038673078
1740	-6.404069627272321	17.183789978611347
1745	-6.07011290553404	18.13586848866628
1750	-5.7353412064191165	19.08533315068017
1755	-5.399765686837656	20.032161184232976
1760	-5.063397593766611	20.97632980438044
1765	-4.7262482549285	21.917816231807596
1770	-4.388329068956241	22.856597703146804
1775	-4.049651495224454	23.792651481507885
1780	-3.7102270434357734	24.725954866998446
1785	-3.370067263153408	25.65648520713243
1790	-3.029183733361455	26.584219907092674
1795	-2.6875880521978193	27.509136439601875
1800	-2.3452918269724345	28.431212354459447
1805	-2.002306664519542	29.35042528757364
1810	-1.6586441620444656	30.26675296945424
1815	-1.3143158984419816	31.180173233121984
1820	-0.9693334261940619	32.090664021327626
1825	-0.6237082638809187	32.99820339318182
1830	-0.2774518892993598	33.902769530073115
