T/K	VIIprimeprime	VIIprime
1200	-35.00455070715197	-94.01990852355354
1205	-34.83196431901839	-92.94008944749612
1210	-34.656949281320955	-91.86049462712603
1215	-34.479529043566515	-90.78116984496826
1220	-34.29972686225828	-89.70216050671732
1225	-34.117565803275454	-88.62351164590923
1230	-33.9330687441988	-87.54526792843507
1235	-33.746258376611934	-86.4674736570664
1240	-33.55715720835672	-85.39017277582225
1245	-33.36578756576462	-84.31340887435383
1250	-33.172171595831955	-83.23722519217189
1255	-32.97633126838147	-82.16166462288432
1260	-32.77828837817283	-81.08676971830775
1265	-32.57806454699587	-80.01258269254186
1270	-32.37568122570806	-78.93914542597261
1275	-32.17115969626471	-77.86649946922887
1280	-31.964521073705246	-76.79468604703557
1285	-31.755786308106327	-75.72374606206023
1290	-31.544976186500527	-74.65372009864387
1295	-31.332111334786713	-73.58464842653514
1300	-31.117212219587422	-72.51657100449968
1305	-30.900299150087232	-71.44952748393814
1310	-30.68139227984596	-70.38355721240109
1315	-30.46051160857376	-69.3186992370833
1320	-30.237676983898865	-68.2549923082227
1325	-30.012908103078587	-67.19247488250748
1330	-29.78622451471369	-66.13118512637887
1335	-29.55764562042522	-65.07116091931343
1340	-29.327190676499466	-64.01243985704096
1345	-29.09487879551846	-62.95505925472679
1350	-28.86072894796115	-61.89905615009307
1355	-28.62475996378831	-60.84446730651641
1360	-28.386990533989735	-59.791329216043906
1365	-28.147439212116954	-58.73967810240292
1370	-27.906124415803713	-57.68954992394457
1375	-27.66306442824473	-56.640980376547624
1380	-27.418277399664895	-55.59400489648067
1385	-27.171781348764814	-54.54865866322726
1390	-26.923594164145218	-53.504976602266304
1395	-26.673733605709646	-52.46299338780738
1400	-26.422217306058485	-51.42274344551313
1405	-26.169062771829562	-50.38426095512306
1410	-25.914287385067006	-49.34757985313047
1415	-25.657908404538023	-48.312733835318014
1420	-25.399942967034853	-47.27975635934678
1425	-25.140408088669112	-46.24868064726059
1430	-24.879320666137904	-45.21953968795723
1435	-24.61669747798274	-44.19236623964464
1440	-24.352555185820812	-43.16719283225478
1445	-24.08691033555756	-42.144051769807845
1450	-23.81977935860243	-41.12297513276913
1455	-23.551178573030118	-40.10399478035091
1460	-23.281124184780023	-39.087142352813835
1465	-23.00963228877595	-38.072449273698496
1470	-22.73671887008952	-37.05994675203941
1475	-22.462399805041397	-36.04966578457388
1480	-22.186690862323598	-35.04163715788585
1485	-21.909607704072194	-34.035891450542834
1490	-21.631165886963718	-33.03245903519649
1495	-21.35138086326434	-32.031370080648955
1500	-21.0702679818727	-31.032654553907765
1505	-20.787842489367364	-30.036342222189425
1510	-20.50411953102561	-29.042462658142828
1515	-20.219114151811105	-28.051045229238383
1520	-19.932841297387554	-27.062119118149973
1525	-19.645315815093692	-26.075713312624583
