T/K	chemPot/meV
400	3527.77579614948
425	4255.2252745412425
450	4981.380049021666
475	5706.3257881408035
500	6430.138330340258
525	7152.885161143486
550	7874.626608383819
575	8595.416819703543
600	9315.304569757764
625	10034.333932670612
650	10752.54484674161
675	11469.973592157497
700	12186.653197844102
725	12902.613790129719
750	13617.882893265567
775	14332.485689836949
800	15046.445247541738
825	15759.782717596836
850	16472.517509075788
875	17184.667442716614
900	17896.248887153462
925	18607.276879976806
950	19317.76523571843
975	20027.72664245349
1000	20737.17274849064
