#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.211850612037159 -4.79185620953535 169866.978708694 170000 300.065525259102 300 4.72030734480295 -4.25276349283497  16.951417296395 8.55970254553772 12.5358866333302 90 90 90
0.215328835426737 -4.78739326210076 180102.013500277 180000 300.871219453883 300 4.64405985393553 -4.22661834076569  16.6770902725961 8.33077914972794 12.79293525949 90 90 90
0.217763058705026 -4.78340750739399 189690.179306787 190000 299.867470169269 300 4.59214710679905 -4.20111901407879  16.8451282992201 8.38222512356465 12.5233839100161 90 90 90
0.219816133849845 -4.77979628886483 200277.623649724 200000 299.53146815907 300 4.54925661045014 -4.17256612578448  16.6642123318714 8.337579021418 12.4894845869441 90 90 90
0.221766610370833 -4.77576094536747 210034.206165375 210000 300.296886811528 300 4.509245094777 -4.14598039087209  16.761390170141 8.32985952352221 12.4505367302947 90 90 90
0.223440948419481 -4.77242398477622 219981.068098259 220000 299.974606696245 300 4.47545540364711 -4.11933855987078  16.6080410108007 8.26838330392169 12.5311402398666 90 90 90
0.225100317455714 -4.76889241012293 229767.176701572 230000 301.728635330906 300 4.44246374817635 -4.09297911723551  16.6087025922365 8.29109133421531 12.4361968603867 90 90 90
0.226759606918225 -4.76470352899697 240088.483213655 240000 300.073701964344 300 4.40995648912297 -4.06522078995942  16.6008713244724 8.27370019581739 12.3085190094354 90 90 90
0.228378581633412 -4.7603690727597 250007.67928337 250000 299.564287423472 300 4.37869432784715 -4.0385572087173  16.4771786680176 8.22619532243681 12.4415848598199 90 90 90
0.229959387058966 -4.75643005792758 259801.318907081 260000 300.379029358318 300 4.3485939529991 -4.01261617859306  16.5523499701146 8.2750561124047 12.1723450566783 90 90 90
0.231551053426881 -4.7521701061866 269980.448752822 270000 299.35185699563 300 4.31870201063793 -3.98588441568345  16.455642719644 8.17648057751088 12.3333912551478 90 90 90
0.233035432229099 -4.74786658977003 279831.590446396 280000 300.305485910773 300 4.29119293334282 -3.95972413036164  16.3353956809874 8.20697903176684 12.1872190332143 90 90 90
0.234552958429614 -4.74366285870121 289727.857383865 290000 299.323048651975 300 4.26342949027473 -3.93416427008896  16.3998199224116 8.12964060122992 12.2643256397177 90 90 90
0.235996402283939 -4.73928248374664 300295.321615118 300000 300.48949590183 300 4.23735273216941 -3.90642465552623  16.4079804881647 8.19685167303162 12.1437141921589 90 90 90
0.236009775920543 -4.73896854716802 299984.197205003 300000 299.238166882043 300 4.23711262001565 -3.90711002736258  16.3272719505601 8.19328800910274 12.1412718074752 90 90 90
0.237471972690373 -4.73452696292668 310171.812909457 310000 299.628203068926 300 4.21102325748499 -3.88076393203357  16.3375368702336 8.19248060532889 12.08684015241 90 90 90
0.238840426203527 -4.72993816745589 319231.493603797 320000 300.39534124555 300 4.18689589486771 -3.85703273798405  16.2726308138755 8.16998665883198 12.1847737950231 90 90 90
0.240252982867899 -4.72518301713703 329952.538733115 330000 300.687112877082 300 4.16227922776652 -3.82928989846616  16.339819958755 8.15823081067622 12.0492323040278 90 90 90
0.24153632773574 -4.72093159547868 339746.322693121 340000 300.634659852874 300 4.14016396363398 -3.8043333060929  16.2861421131624 8.12977461432409 11.950943202614 90 90 90
0.242893836863213 -4.71636739439872 350327.679080484 350000 300.723057158348 300 4.11702500530367 -3.77745205453817  16.30758555325 8.15276234080568 11.8617490305121 90 90 90
0.244129444527418 -4.71205749435543 359792.931757043 360000 300.697064651337 300 4.09618758579402 -3.75351694875982  16.271011625507 8.09338550054918 11.8920098481384 90 90 90
