#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.110026123862146 -4.83366862987771 14877.5780318335 15000 599.082799208707 600 9.08875060665521 -4.67188496843762  25.752680019832 37.4108306185185 24.513990752948 90 90 90
0.126484732106073 -4.83244221038395 30312.1466050078 30156.25 599.476207462567 600 7.90609256428972 -4.60542553839206  26.7661268219892 30.7783855554309 24.772577145732 90 90 90
0.138523766895436 -4.8274826429944 45390.0363876988 45312.5 600.266878994368 600 7.21897781450632 -4.54543548384823  26.3421034376442 29.1035502974654 24.4011241307274 90 90 90
0.148377133478267 -4.82117813357095 60394.8586167478 60468.75 599.380535047987 600 6.73958295700915 -4.48969740669946  24.0470984676126 31.4618101940042 23.1843101565822 90 90 90
0.156671320740633 -4.8137129366768 75670.2794838294 75625 600.89401610217 600 6.38278911081298 -4.43463333042647  21.2611474195058 32.9735047066385 23.7990054530654 90 90 90
0.163477001363362 -4.8068122033847 90855.5541231289 90781.25 600.088595788668 600 6.1170684050981 -4.38240689840174  20.3302405015067 33.667243612164 23.1702396723621 90 90 90
0.169514256946291 -4.79927555207146 105879.947421696 105937.5 599.756380879257 600 5.89920882180924 -4.33195336567998  19.0905911878848 32.9479016801468 24.3709414200899 90 90 90
0.174645895625065 -4.79225311573779 121257.000442258 121093.75 600.299214621642 600 5.72587174992551 -4.28135891488414  18.1147328822719 33.6070951311261 24.3570883942285 90 90 90
0.179191385185385 -4.78578442917742 136378.148331941 136250 599.567556890756 600 5.58062542440551 -4.23330564640849  16.9033004625773 33.6797324794808 25.4159348927387 90 90 90
0.183292723343837 -4.77858944392954 151459.009295443 151406.25 601.032619045907 600 5.4557539533313 -4.18519787017567  16.9787628213361 31.6560129129482 26.2147050260766 90 90 90
0.186828606982742 -4.77098018365351 166329.294422195 166562.5 601.274090077757 600 5.35249936372097 -4.1376425180199  17.6523525436902 31.0833839239143 25.2593458000134 90 90 90
0.190419167096059 -4.76461804533013 181964.998379747 181718.75 599.725140289902 600 5.25157217758199 -4.09070303430931  16.766268232873 31.818065164458 25.4424419225367 90 90 90
0.193445472613634 -4.75654150588582 196731.546162912 196875 599.995858748173 600 5.16941537317488 -4.04428250787229  16.7060492655384 31.1682481586441 25.8029230583735 90 90 90
0.196630114526637 -4.75025463126135 212199.78672221 212031.25 600.538684004024 600 5.08569098079091 -3.99909884195811  16.184695064057 31.649827317652 25.7861824084968 90 90 90
0.199787443049122 -4.74209986443431 227334.525830664 227187.5 601.10556379874 600 5.00531957733765 -3.95424050427965  15.822772879236 31.7046402022052 25.8179641185451 90 90 90
0.202153281640728 -4.73405154051354 242290.968081946 242343.75 600.65004042602 600 4.94674136320589 -3.90837799636995  15.8007204752663 31.5804023881128 25.6646933691737 90 90 90
0.204839823324153 -4.72647045576058 257788.525973496 257500 600.589819958565 600 4.88186322255087 -3.8634052084191  15.618998912983 31.2998020815944 25.8999025436535 90 90 90
0.207490965421777 -4.71793106025566 272333.452526113 272656.25 599.646628125702 600 4.81948694955104 -3.82126870799576  16.0020523364323 30.1813500858016 25.8746197543865 90 90 90
