#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.183242510868591 -4.71356523845616 169720.500345097 170000 1000.80148356818 1000 5.45724894982001 -4.00666024981181  18.6138283819979 12.0030570044278 9.634531945288 90 90 90
0.184718262136562 -4.7110100466374 174999.784195892 175000 999.460724414597 1000 5.41364989272527 -3.99058341726093  36.1384628575342 18.0985228859192 25.4079763358418 90 90 90
0.186285460851973 -4.70808154218298 179610.94932512 180000 997.488883333596 1000 5.36810546258693 -3.97792447961339  18.3762622273866 10.5801016963774 10.6262292896168 90 90 90
0.186953477010826 -4.70674325434781 182760.2884412 182500 1000.26080563284 1000 5.34892432057893 -3.96734828315996  36.1948614993731 35.8655861595121 25.3341811342241 90 90 90
0.187709840640013 -4.70490712918341 185334.503226767 185000 999.325964046456 1000 5.32737120542223 -3.95958981415968  36.1316809898767 17.9819762461938 25.1271548884488 90 90 90
0.188195409627369 -4.70385178815208 187968.485833386 187500 1002.46055908978 1000 5.31362588481846 -3.95091412888685  35.9520498658896 36.1537395673912 25.1553815017617 90 90 90
0.188693746641429 -4.70389173376226 189613.277671618 190000 1002.83434610688 1000 5.29959268814711 -3.94766692923181  17.8393698245455 10.8243012687056 10.5348268472003 90 90 90
0.189316083708221 -4.70161706430739 192180.53031162 192500 999.05127830836 1000 5.2821713845572 -3.93891317772488  35.8944723548065 35.8780196403969 25.2567700567333 90 90 90
0.190385207378041 -4.69877355548077 197641.624760574 197500 999.073075857822 1000 5.25250892005668 -3.92173612061803  35.7307681082127 35.7801296634407 25.1515697156885 90 90 90
0.190928926158083 -4.69792251359391 200003.046039012 200000 998.599748157739 1000 5.2375510621792 -3.91564405761517  17.9773441147154 10.7038244906833 10.5138852340248 90 90 90
0.191638045205105 -4.6964256434935 202591.024942359 202500 999.518826462392 1000 5.21817053043786 -3.90743304899396  35.436985623402 35.2897161997248 25.5602413579326 90 90 90
0.192388164647217 -4.69521988091348 204393.743413663 205000 1001.59492618092 1000 5.19782493810732 -3.90272324068381  35.4029935402096 17.6205977921894 25.6867226501681 90 90 90
0.192761172818134 -4.69384236524975 207477.84530108 207500 999.512751448643 1000 5.18776673424517 -3.89288693331244  35.4676440738767 35.4191957884942 25.417965592959 90 90 90
0.193918349149382 -4.69129415127667 212344.159559512 212500 999.586005252653 1000 5.15680957674442 -3.87867070967053  35.5018375680862 35.6938469680304 25.0413782960717 90 90 90
0.194680214484136 -4.69043144737683 215266.966014058 215000 998.671871584243 1000 5.13662881792996 -3.87125237416751  35.3368025563991 17.7619832226975 25.217530382664 90 90 90
0.19491802014526 -4.68872336487218 217407.770524825 217500 998.813359607467 1000 5.13036198117939 -3.8634826425947  35.473088571402 35.329919033276 25.1770809573506 90 90 90
0.196087668291507 -4.6863832392655 222339.67264895 222500 998.276846396744 1000 5.09975975905525 -3.84966947219619  35.2702758899002 35.2171160605103 25.1609029943751 90 90 90
0.196735669075856 -4.68503027754697 225289.755089926 225000 1000.66193922396 1000 5.08296235602517 -3.84102312746267  35.4795330555542 17.8822962432548 24.6916970904882 90 90 90
0.197257049752567 -4.6835436839057 227792.684546541 227500 1000.2045300681 1000 5.0695273058903 -3.83352198529347  35.4287820750493 35.3541593280593 24.8781286077619 90 90 90
0.197728806411436 -4.68204480902817 230219.162380552 230000 997.402267032166 1000 5.05743203607466 -3.82646811785145  35.1377235228148 17.815935017123 24.829604519914 90 90 90
0.198293514674559 -4.6810858839464 232940.405825188 232500 1000.1281828381 1000 5.04302927728729 -3.81863233820605  35.3555708568638 35.2762461833378 24.7912019482089 90 90 90
0.198846949875127 -4.67973271665419 235207.333628329 235000 1000.00196058077 1000 5.02899340738185 -3.81227464262929  35.2455354620428 17.7295418833035 24.5920306897509 90 90 90
0.199281320084658 -4.67800358866256 237818.569862427 237500 1000.08260513267 1000 5.01803179332204 -3.80391288001564  35.203960926287 35.0582178848621 24.9739260092038 90 90 90
0.199921787891993 -4.67748070399994 239698.598022621 240000 999.650876648196 1000 5.00195606764103 -3.79998888767059  35.0969967951205 17.611466814705 24.7994646620016 90 90 90
0.200409035869178 -4.67614519367178 242590.42960816 242500 998.627782450416 1000 4.98979497437817 -3.79156994777477  35.1135336500177 35.0176610078635 24.946168387161 90 90 90
0.200783549661097 -4.67481494982907 244946.503125027 245000 996.66564334876 1000 4.98048770274209 -3.78462517391918  35.3712264721055 17.5851013667642 24.6593899290176 90 90 90
0.201205619550518 -4.67334554428971 247992.382481057 247500 1001.67022442048 1000 4.97004011236836 -3.77461445726765  35.2676445716685 35.3734986979671 24.565332736926 90 90 90
0.202084052226868 -4.67317847826765 248935.627332627 250000 1000.36720409415 1000 4.94843600462524 -3.77548684807285  17.9134592044198 8.69726968488642 12.2196320664475 90 90 90
0.202438754338575 -4.67104357053387 252925.269743225 252500 1000.88621602383 1000 4.93976562574338 -3.76189271176332  35.1679616934506 35.2196010647033 24.4898951424133 90 90 90
0.203491723891555 -4.6677366268424 257986.606153186 257500 999.96530928868 1000 4.91420476900044 -3.7472119263873  34.9414642813558 34.9962353700424 24.5876767884604 90 90 90
